Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1970-01-01 00:01:06, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 43.21, 41.46, 40.41, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:07, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.27, 41.48, 40.30, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:08, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.24, 41.53, 40.25, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:09, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.27, 41.50, 40.27, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:10, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 43.37, 41.50, 40.25, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:11, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 43.24, 41.58, 40.23, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:12, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.32, 41.50, 40.23, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:13, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.20, 41.44, 40.12, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:14, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.22, 41.46, 40.17, 0.00, -0.19, 16.00, 10.00, 0.00
1970-01-01 00:01:15, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.15, 41.47, 40.23, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:16, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 43.13, 41.51, 40.20, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:17, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 43.21, 41.47, 40.17, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:18, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.14, 41.44, 40.13, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:19, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.12, 41.38, 40.12, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:52, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.14, 41.51, 40.12, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:53, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.07, 41.43, 40.09, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:53:54, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 43.09, 41.41, 40.05, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:55, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.05, 41.45, 39.97, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:53:56, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 43.06, 41.45, 40.01, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:57, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 43.12, 41.46, 40.07, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:53:58, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 43.06, 41.36, 39.96, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:59, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 43.06, 41.39, 39.96, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:00, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.05, 41.32, 39.96, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:01, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.98, 41.39, 39.95, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:02, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.01, 41.37, 39.91, 0.00, -0.22, 16.00, 10.00, 0.00
2018-06-27 11:54:03, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.98, 41.41, 39.94, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:04, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 43.05, 41.34, 39.88, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:05, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.98, 41.48, 39.94, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:06, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 43.00, 41.30, 39.88, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:07, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 43.01, 41.36, 39.90, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:08, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.98, 41.34, 39.82, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:09, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.94, 41.34, 39.84, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:10, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 42.91, 41.37, 39.73, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:11, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.87, 41.34, 39.73, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:12, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.91, 41.30, 39.76, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:13, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.88, 41.31, 39.70, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:14, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.95, 41.46, 39.76, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:15, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.86, 41.34, 39.75, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:16, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.88, 41.30, 39.60, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:17, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.80, 41.38, 39.68, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:18, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.82, 41.34, 39.57, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:19, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.80, 41.36, 39.59, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:20, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.83, 41.27, 39.57, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:21, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.83, 41.26, 39.50, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:22, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.78, 41.37, 39.58, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:23, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.71, 41.37, 39.39, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:24, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.73, 41.34, 39.40, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:25, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.22, 42.73, 41.28, 39.39, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:26, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.73, 41.21, 39.42, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:27, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.76, 41.25, 39.33, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:28, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.70, 41.23, 39.33, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:29, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.70, 41.26, 39.35, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:30, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.68, 41.32, 39.38, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:31, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.64, 41.27, 39.27, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:32, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.64, 41.26, 39.30, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:33, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.66, 41.28, 39.30, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:34, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.73, 41.21, 39.30, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:35, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.22, 42.57, 41.26, 39.26, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:37, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.60, 41.21, 39.17, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:38, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.59, 41.27, 39.19, 0.00, -0.23, 16.00, 10.00, 0.00
2018-06-27 11:54:39, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.51, 41.23, 39.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:40, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.55, 41.16, 39.17, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:41, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.58, 41.20, 39.17, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:42, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.55, 41.26, 39.14, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:43, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.60, 41.16, 39.10, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:44, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.50, 41.26, 39.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:45, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.58, 41.25, 39.05, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:46, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.51, 41.25, 39.00, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:47, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.51, 41.31, 38.96, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:48, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.46, 41.23, 38.98, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:49, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.22, 42.52, 41.23, 38.95, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:50, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.50, 41.20, 38.87, 0.00, -0.19, 16.00, 10.00, 0.00
2018-06-27 11:54:51, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.45, 41.26, 38.96, 0.00, -0.20, 16.00, 10.00, 0.00
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1970-01-01 00:00:01, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.16, 41.02, 38.44, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:02, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 42.25, 41.00, 38.47, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:03, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.20, 41.07, 38.48, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:04, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.16, 41.03, 38.49, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:05, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.23, 41.12, 38.52, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:06, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.20, 41.10, 38.54, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:07, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.23, 41.05, 38.46, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:08, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.23, 41.13, 38.48, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:09, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.16, 40.98, 38.51, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:10, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.12, 41.01, 38.48, 0.00, -0.19, 16.00, 10.00, 0.00
1970-01-01 00:00:11, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.16, 41.05, 38.52, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:12, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.16, 41.07, 38.48, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:13, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.14, 41.02, 38.46, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:14, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.14, 41.05, 38.36, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:15, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.09, 41.03, 38.36, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:16, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.00, 41.01, 38.27, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:17, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.07, 40.98, 38.23, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:18, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 42.06, 41.01, 38.22, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:19, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 41.96, 41.00, 38.30, 0.00, -0.19, 16.00, 10.00, 0.00
1970-01-01 00:00:20, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 41.98, 41.08, 38.21, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:21, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.01, 41.03, 38.13, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:22, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.00, 41.03, 38.15, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:23, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.00, 40.98, 38.13, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:24, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 42.00, 40.98, 38.17, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:25, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 42.01, 41.00, 38.17, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:26, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 41.98, 41.03, 38.15, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:27, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 41.91, 41.00, 38.13, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:29, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 41.88, 40.98, 38.06, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:30, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 41.95, 40.98, 38.10, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:31, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 42.00, 40.89, 38.12, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:32, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 41.83, 40.87, 38.03, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:33, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 41.84, 40.93, 38.05, 0.00, -0.22, 16.00, 10.00, 0.00
1970-01-01 00:00:34, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 41.87, 40.93, 37.98, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:35, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 41.84, 40.88, 37.97, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:36, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 41.82, 40.94, 38.02, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:37, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.22, 41.84, 40.87, 37.96, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:38, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 41.80, 40.85, 37.99, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:39, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 41.84, 40.85, 37.91, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:40, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 41.88, 40.90, 37.86, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:41, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 41.82, 40.91, 37.90, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:42, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 41.85, 40.95, 37.80, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:43, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 41.78, 40.94, 37.77, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:44, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 41.80, 40.90, 37.90, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:45, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 41.77, 40.82, 37.90, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:46, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 41.73, 40.91, 37.85, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:47, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 41.78, 40.85, 37.74, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:48, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 41.80, 40.94, 37.80, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:49, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 41.80, 40.88, 37.78, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:50, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 41.67, 40.88, 37.76, 0.00, -0.19, 16.00, 10.00, 0.00
